"Designator","Comment","Footprint","LCSC Part Number"
"C1-C15,C18,C19,C22,C23,C26-C49","100nF C0G","project:C_0805_2012Metric",""
"C16,C17","100uF/25V","project:C_1210_3225Metric",""
"C20,C21","100uF","project:C_1210_3225Metric",""
"C24,C25,C74-C79","10uF X5R","project:C_0805_2012Metric",""
"C50-C61","100pF C0G","project:C_0805_2012Metric",""
"C62-C73","2.2uF C0G","project:C_1206_3216Metric",""
"C80","10u","project:C_0805_2012Metric",""
"C81","22nF C0G","project:C_0402_1005Metric",""
"D1","SMBJ15CA","project:D_SMB",""
"D2-D25","PESD5V0S1BL","project:D_SOD-323",""
"FB1,FB2","BLM18PG221","project:L_0805_2012Metric",""
"J1","24V DC","project:BarrelJack_Horizontal",""
"J2","REMOTE 3.5mm IN","aurora-dsp-icepower-booster:AUDIO-SMD_KH-PJ-320EA-5P-SMT","C5123132"
"J3","XLR_IN_1","project:Jack_XLR_Neutrik_NC3FBH2_Horizontal",""
"J4","XLR_IN_2","project:Jack_XLR_Neutrik_NC3FBH2_Horizontal",""
"J5","XLR_IN_3","project:Jack_XLR_Neutrik_NC3FBH2_Horizontal",""
"J6","XLR_IN_4","project:Jack_XLR_Neutrik_NC3FBH2_Horizontal",""
"J7","XLR_IN_5","project:Jack_XLR_Neutrik_NC3FBH2_Horizontal",""
"J8","XLR_IN_6","project:Jack_XLR_Neutrik_NC3FBH2_Horizontal",""
"J9-J14","XLR3_OUT","project:Jack_XLR_Neutrik_NC3MBH_Horizontal",""
"J15","REMOTE 3.5mm OUT","aurora-dsp-icepower-booster:AUDIO-SMD_KH-PJ-320EA-5P-SMT","C5123132"
"Q1-Q7","BSS138","project:SOT-23",""
"R1,R64-R75,R106,R108-R113","10k","project:R_0805_2012Metric",""
"R2-R26,R30,R34,R38,R42,R46,R50-R55","10k 0.1%","project:R_0805_2012Metric",""
"R27,R31,R35,R39,R43,R47","30k","project:R_0805_2012Metric",""
"R28,R32,R36,R40,R44,R48","15k","project:R_0805_2012Metric",""
"R29,R33,R37,R41,R45,R49","7.5k","project:R_0805_2012Metric",""
"R56,R57,R107","100k","project:R_0805_2012Metric",""
"R58-R63,R76-R81,R94-R105","47","project:R_0805_2012Metric",""
"R82-R93","10","project:R_0805_2012Metric",""
"SW1","ALWAYS/REMOTE","project:SW_E-Switch_EG1224_SPDT_Angled",""
"SW2","Gain CH1","project:SW_DIP_SPSTx03_Slide_Omron_A6S-310x_W8.9mm_P2.54mm",""
"SW3","Gain CH2","project:SW_DIP_SPSTx03_Slide_Omron_A6S-310x_W8.9mm_P2.54mm",""
"SW4","Gain CH3","project:SW_DIP_SPSTx03_Slide_Omron_A6S-310x_W8.9mm_P2.54mm",""
"SW5","Gain CH4","project:SW_DIP_SPSTx03_Slide_Omron_A6S-310x_W8.9mm_P2.54mm",""
"SW6","Gain CH5","project:SW_DIP_SPSTx03_Slide_Omron_A6S-310x_W8.9mm_P2.54mm",""
"SW7","Gain CH6","project:SW_DIP_SPSTx03_Slide_Omron_A6S-310x_W8.9mm_P2.54mm",""
"U1","TEL5-2422","project:TEL5_DUAL_TRP",""
"U2-U13","LM4562","project:SOIC-8_3.9x4.9mm_P1.27mm",""
"U14","ADP7118ARDZ-11","project:SOIC127P600X175-9N",""
"U15","ADP7182AUJZ-11","project:SOT-23-5",""
