Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF C0G","C_0805_2012Metric",43.000000,-12.000000,90.000000,top
"C2","100nF C0G","C_0805_2012Metric",52.000000,-39.450000,90.000000,top
"C3","100nF C0G","C_0805_2012Metric",52.000000,-67.140000,90.000000,top
"C4","100nF C0G","C_0805_2012Metric",52.000000,-94.820000,90.000000,top
"C5","100nF C0G","C_0805_2012Metric",52.000000,-122.640000,90.000000,top
"C6","100nF C0G","C_0805_2012Metric",52.000000,-150.450000,90.000000,top
"C7","100nF C0G","C_0805_2012Metric",52.000000,-178.220000,90.000000,top
"C8","100nF C0G","C_0805_2012Metric",52.000000,-49.450000,90.000000,top
"C9","100nF C0G","C_0805_2012Metric",52.000000,-77.140000,90.000000,top
"C10","100nF C0G","C_0805_2012Metric",52.000000,-104.820000,90.000000,top
"C11","100nF C0G","C_0805_2012Metric",52.000000,-132.640000,90.000000,top
"C12","100nF C0G","C_0805_2012Metric",52.000000,-160.450000,90.000000,top
"C13","100nF C0G","C_0805_2012Metric",52.000000,-188.220000,90.000000,top
"C14","100nF C0G","C_0805_2012Metric",80.000000,-8.000000,90.000000,top
"C15","100nF C0G","C_0805_2012Metric",80.000000,-28.000000,90.000000,top
"C16","100uF/25V","C_1210_3225Metric",140.000000,-14.000000,90.000000,top
"C17","100uF/25V","C_1210_3225Metric",78.000000,-12.000000,90.000000,top
"C18","100nF C0G","C_0805_2012Metric",78.000000,-28.000000,90.000000,top
"C19","100nF C0G","C_0805_2012Metric",80.000000,-24.000000,90.000000,top
"C20","100uF","C_1210_3225Metric",134.000000,-10.000000,90.000000,top
"C21","100uF","C_1210_3225Metric",121.000000,-22.000000,90.000000,top
"C22","100nF C0G","C_0805_2012Metric",121.000000,-6.000000,90.000000,top
"C23","100nF C0G","C_0805_2012Metric",85.000000,-30.000000,90.000000,top
"C24","10uF X5R","C_0805_2012Metric",69.000000,-58.000000,90.000000,top
"C25","10uF X5R","C_0805_2012Metric",46.000000,-58.000000,90.000000,top
"C26","100nF C0G","C_0805_2012Metric",72.000000,-39.450000,90.000000,top
"C27","100nF C0G","C_0805_2012Metric",72.000000,-67.140000,90.000000,top
"C28","100nF C0G","C_0805_2012Metric",72.000000,-94.820000,90.000000,top
"C29","100nF C0G","C_0805_2012Metric",72.000000,-122.640000,90.000000,top
"C30","100nF C0G","C_0805_2012Metric",72.000000,-150.450000,90.000000,top
"C31","100nF C0G","C_0805_2012Metric",72.000000,-178.220000,90.000000,top
"C32","100nF C0G","C_0805_2012Metric",72.000000,-49.450000,90.000000,top
"C33","100nF C0G","C_0805_2012Metric",72.000000,-77.140000,90.000000,top
"C34","100nF C0G","C_0805_2012Metric",72.000000,-104.820000,90.000000,top
"C35","100nF C0G","C_0805_2012Metric",69.000000,-114.000000,90.000000,top
"C36","100nF C0G","C_0805_2012Metric",69.000000,-142.000000,90.000000,top
"C37","100nF C0G","C_0805_2012Metric",69.000000,-170.000000,90.000000,top
"C38","100nF C0G","C_0805_2012Metric",84.000000,-40.950000,0.000000,top
"C39","100nF C0G","C_0805_2012Metric",84.000000,-68.640000,0.000000,top
"C40","100nF C0G","C_0805_2012Metric",84.000000,-96.320000,0.000000,top
"C41","100nF C0G","C_0805_2012Metric",84.000000,-124.140000,0.000000,top
"C42","100nF C0G","C_0805_2012Metric",84.000000,-151.950000,0.000000,top
"C43","100nF C0G","C_0805_2012Metric",84.000000,-179.720000,0.000000,top
"C44","100nF C0G","C_0805_2012Metric",84.000000,-47.950000,0.000000,top
"C45","100nF C0G","C_0805_2012Metric",84.000000,-75.640000,0.000000,top
"C46","100nF C0G","C_0805_2012Metric",84.000000,-103.320000,0.000000,top
"C47","100nF C0G","C_0805_2012Metric",84.000000,-131.140000,0.000000,top
"C48","100nF C0G","C_0805_2012Metric",84.000000,-158.950000,0.000000,top
"C49","100nF C0G","C_0805_2012Metric",84.000000,-186.720000,0.000000,top
"C50","100pF C0G","C_0805_2012Metric",41.000000,-40.950000,90.000000,top
"C51","100pF C0G","C_0805_2012Metric",41.000000,-47.950000,90.000000,top
"C52","100pF C0G","C_0805_2012Metric",41.000000,-68.640000,90.000000,top
"C53","100pF C0G","C_0805_2012Metric",41.000000,-75.640000,90.000000,top
"C54","100pF C0G","C_0805_2012Metric",41.000000,-96.320000,90.000000,top
"C55","100pF C0G","C_0805_2012Metric",41.000000,-103.320000,90.000000,top
"C56","100pF C0G","C_0805_2012Metric",41.000000,-124.140000,90.000000,top
"C57","100pF C0G","C_0805_2012Metric",41.000000,-131.140000,90.000000,top
"C58","100pF C0G","C_0805_2012Metric",41.000000,-151.950000,90.000000,top
